"id","region","district","municipality","parish","lat","lon","origin","alert_date","alert_hour","extinction_date","extinction_hour","firstInterv_date","firstInterv_hour","alert_source","village_area","vegetation_area","farming_area","village_veget_area","total_area","cause_type"
"1","Entre Douro e Minho","Viana do Castelo","Ponte de Lima","Serdedelo","41:44:48.5663999999878''","8:31:12.3276000000027''","fire",2015-03-24,"17:01:00",2015-03-24,"18:09:00",2015-03-24,"17:10:00",NA,2.5,0,0,2.5,2.5,"negligent"
"2","Entre Douro e Minho","Porto","Marco de Canaveses","Vila Boa de Quires","41:12:58.4280000000109''","8:12:28.3788000000025''","fire",2015-03-24,"17:10:00",2015-03-24,"18:47:00",2015-03-24,"17:16:00",NA,0,1.35,0,1.35,1.35,"negligent"
"3","Trás-os-Montes","Vila Real","Boticas","Cerdedo","41:38:07","07:54:43","fire",2015-03-24,"21:40:00",2015-03-25,"05:45:00",2015-03-24,"22:00:00",NA,0.5,38,0,38.5,38.5,"negligent"
"4","Trás-os-Montes","Vila Real","Montalegre","Gralhas","41:51:4.15079999998738''","7:42:11.7215999999988''","firepit",2015-03-25,"16:00:00",2015-03-25,"17:00:00",2015-03-25,"16:14:00",NA,0,0.01,0,0.01,0.01,"negligent"
"5","Trás-os-Montes","Vila Real","Valpaços","Algeriz","41:35:23","07:24:14","firepit",2015-03-12,"17:20:00",2015-03-12,"18:30:00",2015-03-12,"17:40:00",NA,0.1,0,0,0.1,0.1,"rekindling"
"6","Entre Douro e Minho","Vila Real","Mondim de Basto","Ermelo","41:21:02","07:54:57","firepit",2015-03-13,"14:48:00",2015-03-13,"16:27:00",2015-03-13,"15:18:00",NA,0,0.1,0,0.1,0.1,"negligent"
"7","Trás-os-Montes","Bragança","Vinhais","Candedo","41:50:15.464399999999''","7:7:27.3720000000004''","fire",2015-03-13,"19:00:00",2015-03-13,"21:40:00",2015-03-13,"19:45:00",NA,0.35,14.82,0,15.17,15.17,"negligent"
"8","Entre Douro e Minho","Braga","Terras de Bouro","Valdosende","41:39:57.9635999999914''","8:13:39.3960000000011''","fire",2015-03-14,"06:10:00",2015-03-14,"08:30:00",2015-03-14,"06:15:00",NA,0.5,5,0,5.5,5.5,"negligent"
"9","Alentejo","Portalegre","Fronteira","Fronteira","39:3:51.534000000002''","7:38:31.343999999999''","agriculture",2015-03-11,"18:58:00",2015-03-11,"19:24:00",NA,"",NA,0,0,0.002,0,0.002,"negligent"
"10","Ribatejo e Oeste","Santarém","Benavente","Benavente","38:57:56.736000000011''","8:49:31.5299999999971''","agriculture",2015-02-18,"08:47:00",2015-02-18,"09:32:00",NA,"",NA,0,0,0.0154,0,0.0154,"negligent"
"11","Trás-os-Montes","Viseu","Armamar","São Cosmado","41:3:47.069999999992''","7:38:30.4511999999989''","firepit",2015-03-04,"13:33:00",2015-03-04,"16:00:00",2015-03-04,"13:33:00",NA,0,0.1,0,0.1,0.1,"negligent"
"12","Alentejo","Portalegre","Marvão","Santa Maria de Marvão","39:24:3.08520000000726''","7:23:39.3791999999998''","fire",2015-03-04,"17:15:00",2015-03-04,"17:59:00",2015-03-04,"17:40:00",NA,0,1,0,1,1,"negligent"
"13","Beira Interior","Guarda","Almeida","Parada","40:31:35.5778721205604","6:59:48.5016570243351","fire",2015-03-04,"19:00:00",2015-03-04,"22:35:00",2015-03-04,"19:40:00",NA,0,2,0,2,2,"negligent"
"14","Beira Interior","Guarda","Sabugal","Quadrazais","40:20:49.6000000000009","7:0:8.62999999999658","fire",2015-03-05,"18:25:00",2015-03-05,"20:20:00",2015-03-05,"18:35:00",NA,0.62,5,2.5,5.62,8.12,"negligent"
"15","Trás-os-Montes","Vila Real","Montalegre","Covelo do Gerês","41:44:1.00679999999386''","7:58:33.2688000000016''","firepit",2015-03-25,"19:05:00",2015-03-25,"20:35:00",2015-03-25,"19:50:00",NA,0,0.5,0,0.5,0.5,"negligent"
"16","Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Gondoriz","41:54:36.5076000000107''","8:24:28.6271999999995''","fire",2015-03-26,"00:29:00",2015-03-26,"01:48:00",2015-03-26,"00:32:00",NA,2,0.05,0,2.05,2.05,"intentional"
"17","Entre Douro e Minho","Braga","Guimarães","Guardizela","41:23:16.4435999999978''","8:21:54.3275999999986''","firepit",2015-03-26,"01:36:00",2015-03-26,"02:38:00",2015-03-26,"01:40:00",NA,0,0.05,0,0.05,0.05,"rekindling"
"18","Entre Douro e Minho","Vila Real","Ribeira de Pena","Cerva","41:29:9.98519999998905''","7:48:35.0891999999992''","firepit",2015-03-26,"19:25:00",2015-03-26,"20:30:00",2015-03-26,"19:40:00",NA,0.2,0,0,0.2,0.2,"intentional"
"19","Ribatejo e Oeste","Leiria","Caldas da Rainha","Foz do Arelho","39:26:5.67239999999117''","9:12:36.107999999999''","agriculture",2015-03-26,"18:00:00",2015-03-26,"20:21:00",2015-03-26,"18:10:00",NA,0,0,0.05,0,0.05,"negligent"
"20","Ribatejo e Oeste","Santarém","Torres Novas","Riachos","39:27:37.3788000000008''","8:29:53.1491999999984''","agriculture",2015-03-27,"11:28:00",2015-03-27,"12:00:00",2015-03-27,"11:33:00",NA,0,0,0.1398,0,0.1398,"negligent"
"21","-","Castelo Branco","Covilhã","União das freguesias de Casegas e Ourondo","40:15:48","07:30:08","agriculture",2015-03-06,"16:04:00",2015-03-06,"18:40:00",2015-03-06,"16:48:00",NA,0,0,0.205,0,0.205,"negligent"
"22","-","Porto","Baião","União das freguesias de Baião (Santa Leocádia) e Mesquinhata","41:07:34","08:06:00","firepit",2015-03-06,"14:01:00",2015-03-06,"15:36:00",2015-03-06,"14:30:00",NA,0,0.05,0,0.05,0.05,"negligent"
"23","-","Bragança","Alfândega da Fé","União das freguesias de Eucisia, Gouveia e Valverde","41:18:46","07:00:47","firepit",2015-03-06,"15:33:00",2015-03-06,"16:15:00",2015-03-06,"15:41:00",NA,0,0.001,0,0.001,0.001,"negligent"
"24","Beira Interior","Guarda","Guarda","Vila Fernando","40:28:40.2500000000043","7:9:41.1700000000048","agric_burn",2015-03-07,"01:01:00",2015-03-07,"02:30:00",2015-03-07,"01:35:00",NA,0,0,0.08,0,0.08,"negligent"
"25","Beira Litoral","Viseu","Tondela","Santiago de Besteiros","40:34:17.587199999989''","8:8:41.7515999999989''","fire",2015-03-07,"05:25:00",2015-03-07,"08:55:00",2015-03-07,"05:40:00",NA,1.2,0,0,1.2,1.2,"negligent"
"26","-","Viseu","Viseu","União das freguesias de Viseu","40:43:04","07:48:59","firepit",2015-03-07,"11:04:00",2015-03-07,"13:10:00",2015-03-07,"11:31:00",NA,0.12,0,0,0.12,0.12,"negligent"
"27","Beira Interior","Guarda","Sabugal","Águas Belas","40:23:13.0631999999889''","7:9:33.7428000000016''","agric_burn",2015-03-07,"14:45:00",2015-03-07,"15:45:00",2015-03-07,"14:45:00",NA,0,1,0,1,1,"negligent"
"28","Beira Litoral","Viseu","Mangualde","Cunha Baixa","40:34:8.85359999998968''","7:45:6.0948000000014''","agric_burn",2015-03-06,"15:23:00",2015-03-06,"16:15:00",2015-03-06,"15:40:00",NA,0,0.0786,0,0.0786,0.0786,"negligent"
"29","-","Viseu","Cinfães","Cinfães","41:02:34","08:04:32","fire",2015-03-06,"20:55:00",2015-03-06,"22:58:00",2015-03-06,"21:30:00",NA,0,1,0,1,1,"negligent"
"30","Beira Interior","Guarda","Almeida","São Pedro de Rio Seco","40:40:33.2000000000107","6:49:44.7000000000028","fire",2015-03-07,"16:14:00",2015-03-07,"17:32:00",2015-03-07,"16:25:00",NA,0,1.5,0,1.5,1.5,"negligent"
"31","Trás-os-Montes","Viseu","Tarouca","Vila Chã da Beira","41:1:47.7948000000106''","7:41:14.0028000000013''","fire",2015-03-07,"12:30:00",2015-03-07,"16:33:00",2015-03-07,"13:00:00",NA,0,1.5,0,1.5,1.5,"negligent"
"32","-","Vila Real","Valpaços","Carrazedo de Montenegro","41:34:2.53000000000213","7:23:54.1300000000004","firepit",2015-03-07,"13:00:00",2015-03-07,"14:25:00",2015-03-07,"13:10:00",NA,0,0.8,0,0.8,0.8,"negligent"
"33","Entre Douro e Minho","Aveiro","Vale de Cambra","Arões","40:47:12.5700000000012''","8:16:15.1932000000004''","fire",2015-03-30,"17:39:00",2015-03-30,"19:42:00",2015-03-30,"18:15:00",NA,1.74,0,0,1.74,1.74,"negligent"
"34","Beira Interior","Castelo Branco","Proença-a-Nova","Sobreira Formosa","39:44:40.7831999999934''","7:49:20.4168000000008''","firepit",2015-02-26,"22:11:00",2015-02-26,"23:10:00",2015-02-26,"22:30:00",NA,0,1e-04,0,1e-04,1e-04,"negligent"
"35","-","Bragança","Bragança","União das freguesias de Sé, Santa Maria e Meixedo","41:42:50","06:47:39","firepit",2015-02-27,"19:30:00",2015-02-27,"20:27:00",2015-02-27,"19:45:00",NA,0,0.14,0,0.14,0.14,"negligent"
"36","Trás-os-Montes","Vila Real","Alijó","Vilar de Maçada","41:20:17.1599999999899''","7:33:28.5659999999987''","firepit",2015-03-05,"13:05:00",2015-03-05,"15:35:00",2015-03-05,"13:30:00",NA,0,0.15,0,0.15,0.15,"negligent"
"37","Beira Litoral","Viseu","Viseu","Povolide","40:39:20.6640000000056''","7:48:20.1348''","firepit",2015-03-14,"13:45:00",2015-03-14,"14:50:00",2015-03-14,"14:00:00",NA,0,0.03,0,0.03,0.03,"negligent"
"38","-","Évora","Viana do Alentejo","Alcáçovas","00:38:24.745","00:08:05.740","agric_burn",2015-05-12,"11:35:00",2015-05-12,"13:00:00",2015-05-12,"11:55:00",NA,0,0,0.645,0,0.645,"negligent"
"39","Beira Litoral","Leiria","Ansião","Pousaflores","39:53:2.33880000000227''","8:26:51.3095999999977''","agriculture",2015-05-12,"20:48:00",2015-05-12,"22:20:00",2015-05-12,"21:00:00",NA,0,0,1e-04,0,1e-04,"negligent"
"40","Algarve","Faro","Loulé","Almancil","00:37:03.600","00:08:00.100","agriculture",2015-05-12,"14:01:00",2015-05-12,"15:20:00",2015-05-12,"14:20:00",NA,0,0,0.4951,0,0.4951,"negligent"
"41","Beira Interior","Castelo Branco","Idanha-a-Nova","Penha Garcia","40:0:59.4396000000046''","6:58:58.4508000000011''","firepit",2015-02-27,"13:18:00",2015-02-27,"16:03:00",2015-02-27,"13:50:00",NA,0.15,0,0,0.15,0.15,"negligent"
"42","Beira Interior","Castelo Branco","Covilhã","Aldeia de São Francisco de Assis","40:8:30.7572000000033''","7:43:56.5391999999993''","firepit",2015-02-27,"15:07:00",2015-02-27,"19:15:00",2015-02-27,"15:23:00",NA,0.47,0.4,0,0.87,0.87,"negligent"
"43","Beira Interior","Guarda","Mêda","Ranhados","41:0:28.1759999999991","7:19:20.4959999999991","firepit",2015-02-27,"18:49:00",2015-02-27,"20:05:00",2015-02-27,"18:55:00",NA,0,0.02,0,0.02,0.02,"negligent"
"44","Trás-os-Montes","Vila Real","Boticas","Beça","41:43:12.0100000000048","7:43:39.9199999999998","fire",2015-02-27,"19:58:00",2015-02-27,"22:52:00",2015-02-27,"22:30:00",NA,1,3,0,4,4,"negligent"
"45","-","Vila Real","Alijó","União das freguesias de Carlão e Amieiro","41:19:08","07:24:35","firepit",2015-03-02,"16:00:00",2015-03-02,"18:00:00",2015-03-02,"16:25:00",NA,0.35,0,0,0.35,0.35,"intentional"
"46","Trás-os-Montes","Bragança","Freixo de Espada à Cinta","Fornos","41:10:44.1803999999991''","6:48:19.8612000000001''","firepit",2015-03-02,"16:18:00",2015-03-02,"18:08:00",2015-03-02,"16:40:00",NA,0,0.6,0,0.6,0.6,"negligent"
"47","Entre Douro e Minho","Aveiro","Castelo de Paiva","São Martinho de Sardoura","41:3:14.5332000000036''","8:17:4.63920000000215''","firepit",2015-03-04,"14:22:00",2015-03-04,"17:00:00",2015-03-04,"14:27:00",NA,0,0.3051,0,0.3051,0.3051,"negligent"
