"id","region","district","municipality","parish","lat","lon","origin","alert_date","alert_hour","extinction_date","extinction_hour","firstInterv_date","firstInterv_hour","alert_source","village_area","vegetation_area","farming_area","village_veget_area","total_area","intentional_cause"
1,"Trás-os-Montes","Bragança","Bragança","Zoio","41º44'17''","6º53'34''","firepit",2014-03-16 00:00:00,16:15:00,2014-03-16 00:00:00,17:47:00,2014-03-16 00:00:00,16:35:00,NA,0.52,0,0,0.52,0.52,0
2,"-","Viseu","Oliveira de Frades","União das freguesias de Oliveira de Frades, Souto de Lafões e Sejães","40º46'55''","8º14'33''","firepit",2014-03-17 00:00:00,20:53:00,2014-03-17 00:00:00,22:46:00,2014-03-17 00:00:00,21:05:00,NA,0,0.02,0,0.02,0.02,1
3,"Entre Douro e Minho","Aveiro","Vale de Cambra","Roge","40º51'11''","8º19'50''","firepit",2014-03-17 00:00:00,12:55:00,2014-03-17 00:00:00,15:30:00,2014-03-17 00:00:00,13:10:00,NA,0,0.02,0,0.02,0.02,0
4,"Trás-os-Montes","Viseu","Lamego","Várzea de Abrunhais","41º4'16''","7º46'22''","firepit",2014-03-19 00:00:00,14:22:00,2014-03-19 00:00:00,15:25:00,2014-03-19 00:00:00,14:42:00,NA,0,0.05,0,0.05,0.05,1
5,"Entre Douro e Minho","Braga","Terras de Bouro","Rio Caldo","41º40'56''","8º13'36''","firepit",2014-03-20 00:00:00,12:07:00,2014-03-20 00:00:00,13:14:00,2014-03-20 00:00:00,12:07:00,NA,0,0.2,0,0.2,0.2,0
6,"Beira Interior","Castelo Branco","Sertã","Troviscal","39º51'15''","7º58'13''","firepit",2014-03-17 00:00:00,17:48:00,2014-03-17 00:00:00,21:10:00,2014-03-17 00:00:00,18:08:00,NA,0.073,0,0,0.073,0.073,0
7,"Entre Douro e Minho","Viana do Castelo","Ponte de Lima","Refóios do Lima","41º48'6''","8º32'29''","firepit",2014-03-18 00:00:00,16:51:00,2014-03-18 00:00:00,18:20:00,2014-03-18 00:00:00,17:17:00,NA,0.9,0,0,0.9,0.9,0
8,"-","Vila Real","Boticas","Alturas do Barroso e Cerdedo","41º39'41''","7º52'51''","fire",2014-03-18 00:00:00,16:16:00,2014-03-18 00:00:00,18:00:00,2014-03-18 00:00:00,16:55:00,NA,0,1,0,1,1,0
9,"-","Braga","Barcelos","União das freguesias de Alvito (São Pedro e São Martinho) e Couto","41º38'29''","8º38'44''","fire",2014-03-19 00:00:00,13:48:00,2014-03-19 00:00:00,15:38:00,2014-03-19 00:00:00,14:05:00,NA,3.39,0,0,3.39,3.39,0
10,"Beira Litoral","Aveiro","Anadia","Avelãs de Cima","40:29:09","08:23:39","firepit",2014-04-13 01:00:00,19:54:00,2014-04-13 01:00:00,20:45:00,2014-04-13 01:00:00,20:10:00,NA,0.02,0,0,0.02,0.02,1
