region,district,municipality,origin,alert_date,alert_hour,village_area,vegetation_area,farming_area,village_veget_area,total_area,intentional_cause,alert_day,alert_month,max_temperature,precipitation,min_temperature,avg_temperature,lat,lon
Tras-dos-Montes,Bragança,Bragança,firepit,2014-03-16,16:15:00,0.52,0,0,0.52,0.52,0,16,March,22,0,3.3,13.2,41.7380555555556,-6.89277777777778
Beira Litoral,Viseu,Oliveira de Frades,firepit,2014-03-17,20:53:00,0,0.02,0,0.02,0.02,1,17,March,19.4,0,5.7,10.7,40.7819444444444,-8.2425
Beira Litoral,Aveiro,Vale de Cambra,firepit,2014-03-17,12:55:00,0,0.02,0,0.02,0.02,0,17,March,19.4,0,5.7,10.7,40.8530555555556,-8.33055555555556
Beira Litoral,Viseu,Lamego,firepit,2014-03-19,14:22:00,0,0.05,0,0.05,0.05,1,19,March,22.9,0,9,14.6,41.0711111111111,-7.77277777777778
Entre Douro e Minho,Braga,Terras de Bouro,firepit,2014-03-20,12:07:00,0,0.2,0,0.2,0.2,0,20,March,16.6,2,9.2,11.5,41.6822222222222,-8.22666666666667
Beira Interior,Castelo Branco,Sertá,firepit,2014-03-17,17:48:00,0.073,0,0,0.073,0.073,0,17,March,23.4,0,7.7,14.1,39.8541666666667,-7.97027777777778
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,firepit,2014-03-18,16:51:00,0.9,0,0,0.9,0.9,0,18,March,16.1,0,8.3,11.6,41.8016666666667,-8.54138888888889
Tras-dos-Montes,Vila Real,Boticas,fire,2014-03-18,16:16:00,0,1,0,1,1,0,18,March,18,0,6.1,11.6,41.6613888888889,-7.88083333333333
Entre Douro e Minho,Braga,Barcelos,fire,2014-03-19,13:48:00,3.39,0,0,3.39,3.39,0,19,March,21.9,0,6.9,12.3,41.6413888888889,-8.64555555555556
Beira Litoral,Aveiro,Anadia,firepit,2014-04-13,19:54:00,0.02,0,0,0.02,0.02,1,13,April,25.2,0,11.3,16.7,40.4858333333333,-8.39416666666667
Tras-dos-Montes,Vila Real,Boticas,firepit,2014-04-14,00:45:00,0.04,0,0,0.04,0.04,1,14,April,28,1.4,9.8,17.1,41.6833333333333,-7.63388888888889
Beira Interior,Castelo Branco,Sertá,firepit,2014-04-15,17:37:00,0.5,0,0,0.5,0.5,0,15,April,24.2,0,13.5,18.6,39.8894444444444,-8.00388888888889
Entre Douro e Minho,Braga,Barcelos,fire,2014-04-16,15:56:00,11.55,0,0,11.55,11.55,0,16,April,21.3,0,11.6,15.2,41.5258333333333,-8.58583333333333
Tras-dos-Montes,Bragança,Macedo de Cavaleiros,firepit,2014-04-16,19:09:00,0,0.02,0,0.02,0.02,0,16,April,24.6,0,9,17.2,41.5511111111111,-6.93805555555556
Entre Douro e Minho,Braga,Terras de Bouro,fire,2014-04-17,16:25:00,5,3,0,8,8,0,17,April,26.7,0,10.1,17.4,41.7458333333333,-8.16972222222222
Beira Interior,Guarda,Gouveia,firepit,2014-04-14,02:12:00,0,0.5,0,0.5,0.5,1,14,April,23.6,0,13.8,18.9,40.4933333333333,-7.65111111111111
Entre Douro e Minho,Braga,Barcelos,firepit,2014-04-14,14:59:00,0.15,0,0,0.15,0.15,1,14,April,24.7,0,13,17.6,41.6413888888889,-8.64555555555556
Beira Litoral,Leiria,Pedrogão Grande,firepit,2014-04-16,14:23:00,0.03,0.0615,0,0.0915,0.0915,0,16,April,22.6,0,11.9,16.3,39.9252777777778,-8.22
Beira Litoral,Viseu,Mangualde,firepit,2014-04-20,14:27:00,0.01,0,0,0.01,0.01,0,20,April,17.4,0,8.6,13.2,40.5408333333333,-7.76805555555556
Entre Douro e Minho,Viana do Castelo,Caminha,firepit,2014-03-20,17:23:00,0,0.04,0,0.04,0.04,0,20,March,16.6,2,9.2,11.5,41.9052777777778,-8.78361111111111
Tras-dos-Montes,Bragança,Macedo de Cavaleiros,firepit,2014-03-20,21:40:00,0.001,0,0,0.001,0.001,0,20,March,21.1,0,4.3,11.9,41.5163888888889,-6.93361111111111
Beira Interior,Castelo Branco,Castelo Branco,firepit,2014-03-23,19:04:00,0,0.005,0,0.005,0.005,0,23,March,16.4,0,2.8,8.9,39.8272222222222,-7.53666666666667
Beira Interior,Guarda,Guarda,agric_burn,2014-03-23,14:15:00,0,0.15,0,0.15,0.15,0,23,March,16.4,0,2.8,8.9,40.5194444444444,-7.26833333333333
Algarve,Faro,São Brás de Alportel,agriculture,2014-03-25,17:45:00,0,0,0.0282,0,0.0282,0,25,March,21.8,0.4,10,14.8,37.1666666666667,-7.91555555555556
Beira Litoral,Leiria,Pedrogão Grande,firepit,2014-04-10,13:57:00,0.07,0.16,0,0.23,0.23,0,10,April,23.8,0,12.9,16.4,39.925,-8.20722222222222
Entre Douro e Minho,Porto,Felgueiras,firepit,2014-04-21,18:06:00,0.7,0,0,0.7,0.7,1,21,April,15.9,2.8,7.2,10.5,41.3716666666667,-8.13916666666667
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,firepit,2014-04-21,20:19:00,0.02,0,0,0.02,0.02,0,21,April,15.9,2.8,7.2,10.5,41.715,-8.85416666666667
Beira Interior,Castelo Branco,Fundão,firepit,2014-04-22,12:05:00,0.02,0,0,0.02,0.02,0,22,April,19,0.5,7.9,13.3,40.0986111111111,-7.435
Beira Litoral,Viseu,Tondela,fire,2014-04-22,17:36:00,1.4,0,0,1.4,1.4,1,22,April,20.5,7.7,10.5,14.5,40.5877777777778,-8.105
