region,district,municipality,origin,alert_date,alert_hour,village_area,vegetation_area,farming_area,village_veget_area,total_area,intentional_cause,max_temperature,precipitation,min_temperature,avg_temperature
Tras-dos-Montes,Bragança,Bragança,firepit,2014-03-16,16:15:00,0.52,0,0,0.52,0.52,0,22,0,3.3,13.2
Beira Litoral,Viseu,Oliveira de Frades,firepit,2014-03-17,20:53:00,0,0.02,0,0.02,0.02,1,19.4,0,5.7,10.7
Beira Litoral,Aveiro,Vale de Cambra,firepit,2014-03-17,12:55:00,0,0.02,0,0.02,0.02,0,19.4,0,5.7,10.7
Beira Litoral,Viseu,Lamego,firepit,2014-03-19,14:22:00,0,0.05,0,0.05,0.05,1,22.9,0,9,14.6
Entre Douro e Minho,Braga,Terras de Bouro,firepit,2014-03-20,12:07:00,0,0.2,0,0.2,0.2,0,16.6,2,9.2,11.5
Beira Interior,Castelo Branco,Sertá,firepit,2014-03-17,17:48:00,0.073,0,0,0.073,0.073,0,23.4,0,7.7,14.1
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,firepit,2014-03-18,16:51:00,0.9,0,0,0.9,0.9,0,16.1,0,8.3,11.6
Tras-dos-Montes,Vila Real,Boticas,fire,2014-03-18,16:16:00,0,1,0,1,1,0,18,0,6.1,11.6
Entre Douro e Minho,Braga,Barcelos,fire,2014-03-19,13:48:00,3.39,0,0,3.39,3.39,0,21.9,0,6.9,12.3
Beira Litoral,Aveiro,Anadia,firepit,2014-04-13,19:54:00,0.02,0,0,0.02,0.02,1,25.2,0,11.3,16.7
Tras-dos-Montes,Vila Real,Boticas,firepit,2014-04-14,00:45:00,0.04,0,0,0.04,0.04,1,28,1.4,9.8,17.1
Beira Interior,Castelo Branco,Sertá,firepit,2014-04-15,17:37:00,0.5,0,0,0.5,0.5,0,24.2,0,13.5,18.6
Entre Douro e Minho,Braga,Barcelos,fire,2014-04-16,15:56:00,11.55,0,0,11.55,11.55,0,21.3,0,11.6,15.2
Tras-dos-Montes,Bragança,Macedo de Cavaleiros,firepit,2014-04-16,19:09:00,0,0.02,0,0.02,0.02,0,24.6,0,9,17.2
Entre Douro e Minho,Braga,Terras de Bouro,fire,2014-04-17,16:25:00,5,3,0,8,8,0,26.7,0,10.1,17.4
Beira Interior,Guarda,Gouveia,firepit,2014-04-14,02:12:00,0,0.5,0,0.5,0.5,1,23.6,0,13.8,18.9
Entre Douro e Minho,Braga,Barcelos,firepit,2014-04-14,14:59:00,0.15,0,0,0.15,0.15,1,24.7,0,13,17.6
Beira Litoral,Leiria,Pedrogão Grande,firepit,2014-04-16,14:23:00,0.03,0.0615,0,0.0915,0.0915,0,22.6,0,11.9,16.3
Beira Litoral,Viseu,Mangualde,firepit,2014-04-20,14:27:00,0.01,0,0,0.01,0.01,0,17.4,0,8.6,13.2
Entre Douro e Minho,Viana do Castelo,Caminha,firepit,2014-03-20,17:23:00,0,0.04,0,0.04,0.04,0,16.6,2,9.2,11.5
Tras-dos-Montes,Bragança,Macedo de Cavaleiros,firepit,2014-03-20,21:40:00,0.001,0,0,0.001,0.001,0,21.1,0,4.3,11.9
Beira Interior,Castelo Branco,Castelo Branco,firepit,2014-03-23,19:04:00,0,0.005,0,0.005,0.005,0,16.4,0,2.8,8.9
Beira Interior,Guarda,Guarda,agric_burn,2014-03-23,14:15:00,0,0.15,0,0.15,0.15,0,16.4,0,2.8,8.9
Algarve,Faro,São Brás de Alportel,agriculture,2014-03-25,17:45:00,0,0,0.0282,0,0.0282,0,21.8,0.4,10,14.8
Beira Litoral,Leiria,Pedrogão Grande,firepit,2014-04-10,13:57:00,0.07,0.16,0,0.23,0.23,0,23.8,0,12.9,16.4
Entre Douro e Minho,Porto,Felgueiras,firepit,2014-04-21,18:06:00,0.7,0,0,0.7,0.7,1,15.9,2.8,7.2,10.5
